year,month,day,prov,cases
2020,3,6,대전,2
2020,3,6,울산,0
2020,3,6,세종,0
2020,3,6,경기,10
2020,3,6,강원,2
2020,3,6,충북,3
2020,3,6,충남,4
2020,3,6,전북,0
2020,3,6,전남,0
2020,3,6,경북,122
2020,3,6,경남,3
2020,3,6,제주,0
2020,3,6,검역,0
2020,3,7,서울,3
2020,3,7,부산,1
2020,3,7,대구,390
2020,3,7,인천,0
2020,3,7,광주,0
2020,3,7,대전,0
2020,3,7,울산,0
2020,3,7,세종,1
2020,3,7,경기,10
2020,3,7,강원,1
2020,3,7,충북,5
2020,3,7,충남,2
2020,3,7,전북,0
2020,3,7,전남,0
2020,3,7,경북,65
2020,3,7,경남,5
2020,3,7,제주,0
2020,3,7,검역,0
2020,3,8,서울,12
2020,3,8,부산,1
2020,3,8,대구,297
2020,3,8,인천,0
2020,3,8,광주,0
2020,3,8,대전,0
2020,3,8,울산,1
2020,3,8,세종,1
2020,3,8,경기,11
2020,3,8,강원,1
2020,3,8,충북,4
2020,3,8,충남,6
2020,3,8,전북,0
2020,3,8,전남,0
2020,3,8,경북,32
2020,3,8,경남,1
2020,3,8,제주,0
2020,3,8,검역,0
2020,3,9,서울,10
2020,3,9,부산,0
2020,3,9,대구,190
2020,3,9,인천,0
2020,3,9,광주,2
2020,3,9,대전,0
2020,3,9,울산,0
2020,3,9,세종,3
2020,3,9,경기,12
2020,3,9,강원,1
2020,3,9,충북,1
2020,3,9,충남,4
2020,3,9,전북,0
2020,3,9,전남,0
2020,3,9,경북,25
2020,3,9,경남,0
2020,3,9,제주,0
2020,3,9,검역,0
2020,3,10,서울,11
2020,3,10,부산,0
2020,3,10,대구,92
2020,3,10,인천,4
2020,3,10,광주,0
2020,3,10,대전,0
2020,3,10,울산,0
2020,3,10,세종,2
2020,3,10,경기,10
2020,3,10,강원,0
2020,3,10,충북,0
2020,3,10,충남,2
2020,3,10,전북,0
2020,3,10,전남,0
2020,3,10,경북,10
2020,3,10,경남,0
2020,3,10,제주,0
2020,3,10,검역,0
2020,3,11,서울,53
2020,3,11,부산,2
2020,3,11,대구,131
2020,3,11,인천,12
2020,3,11,광주,0
2020,3,11,대전,0
2020,3,11,울산,1
2020,3,11,세종,2
2020,3,11,경기,11
2020,3,11,강원,1
2020,3,11,충북,2
2020,3,11,충남,8
2020,3,11,전북,0
2020,3,11,전남,0
2020,3,11,경북,18
2020,3,11,경남,1
2020,3,11,제주,0
2020,3,11,검역,0
2020,3,12,서울,19
2020,3,12,부산,2
2020,3,12,대구,72
2020,3,12,인천,0
2020,3,12,광주,0
2020,3,12,대전,2
2020,3,12,울산,0
2020,3,12,세종,5
2020,3,12,경기,3
2020,3,12,강원,0
2020,3,12,충북,0
2020,3,12,충남,2
2020,3,12,전북,0
2020,3,12,전남,0
2020,3,12,경북,8
2020,3,12,경남,1
2020,3,12,제주,0
2020,3,12,검역,0
2020,3,13,서울,12
2020,3,13,부산,1
2020,3,13,대구,61
2020,3,13,인천,2
2020,3,13,광주,0
2020,3,13,대전,2
2020,3,13,울산,2
2020,3,13,세종,17
2020,3,13,경기,8
2020,3,13,강원,0
2020,3,13,충북,0
2020,3,13,충남,1
2020,3,13,전북,0
2020,3,13,전남,0
2020,3,13,경북,4
2020,3,13,경남,0
2020,3,13,제주,0
2020,3,13,검역,0
2020,3,14,서울,13
2020,3,14,부산,3
2020,3,14,대구,62
2020,3,14,인천,1
2020,3,14,광주,0
2020,3,14,대전,0
2020,3,14,울산,0
2020,3,14,세종,6
2020,3,14,경기,15
2020,3,14,강원,0
2020,3,14,충북,1
2020,3,14,충남,0
2020,3,14,전북,0
2020,3,14,전남,0
2020,3,14,경북,6
2020,3,14,경남,0
2020,3,14,제주,0
2020,3,14,검역,0
2020,3,15,서울,9
2020,3,15,부산,3
2020,3,15,대구,41
2020,3,15,인천,1
2020,3,15,광주,1
2020,3,15,대전,0
2020,3,15,울산,1
2020,3,15,세종,1
2020,3,15,경기,11
2020,3,15,강원,0
2020,3,15,충북,3
2020,3,15,충남,0
2020,3,15,전북,0
2020,3,15,전남,0
2020,3,15,경북,4
2020,3,15,경남,0
2020,3,15,제주,0
2020,3,15,검역,1
2020,3,16,서울,6
2020,3,16,부산,1
2020,3,16,대구,35
2020,3,16,인천,1
2020,3,16,광주,0
2020,3,16,대전,0
2020,3,16,울산,0
2020,3,16,세종,1
2020,3,16,경기,20
2020,3,16,강원,0
2020,3,16,충북,0
2020,3,16,충남,0
2020,3,16,전북,0
2020,3,16,전남,0
2020,3,16,경북,7
2020,3,16,경남,0
2020,3,16,제주,0
2020,3,16,검역,3
2020,3,17,서울,12
2020,3,17,부산,0
2020,3,17,대구,32
2020,3,17,인천,1
2020,3,17,광주,0
2020,3,17,대전,0
2020,3,17,울산,0
2020,3,17,세종,0
2020,3,17,경기,31
2020,3,17,강원,0
2020,3,17,충북,0
2020,3,17,충남,0
2020,3,17,전북,0
2020,3,17,전남,0
2020,3,17,경북,5
2020,3,17,경남,1
2020,3,17,제주,0
2020,3,17,검역,2
2020,3,18,서울,5
2020,3,18,부산,0
2020,3,18,대구,46
2020,3,18,인천,1
2020,3,18,광주,1
2020,3,18,대전,0
2020,3,18,울산,2
2020,3,18,세종,1
2020,3,18,경기,15
2020,3,18,강원,1
2020,3,18,충북,1
2020,3,18,충남,3
2020,3,18,전북,2
2020,3,18,전남,1
2020,3,18,경북,9
2020,3,18,경남,0
2020,3,18,제주,0
2020,3,18,검역,5
2020,3,19,서울,12
2020,3,19,부산,0
2020,3,19,대구,97
2020,3,19,인천,0
2020,3,19,광주,0
2020,3,19,대전,0
2020,3,19,울산,6
2020,3,19,세종,0
2020,3,19,경기,18
2020,3,19,강원,0
2020,3,19,충북,1
2020,3,19,충남,0
2020,3,19,전북,1
2020,3,19,전남,0
2020,3,19,경북,12
2020,3,19,경남,0
2020,3,19,제주,0
2020,3,19,검역,5
2020,3,20,서울,17
2020,3,20,부산,1
2020,3,20,대구,34
2020,3,20,인천,4
2020,3,20,광주,1
2020,3,20,대전,0
2020,3,20,울산,0
2020,3,20,세종,0
2020,3,20,경기,14
2020,3,20,강원,0
2020,3,20,충북,0
2020,3,20,충남,1
2020,3,20,전북,0
2020,3,20,전남,0
2020,3,20,경북,13
2020,3,20,경남,1
2020,3,20,제주,0
2020,3,20,검역,1
2020,3,21,서울,15
2020,3,21,부산,0
2020,3,21,대구,69
2020,3,21,인천,4
2020,3,21,광주,0
2020,3,21,대전,0
2020,3,21,울산,0
2020,3,21,세종,0
2020,3,21,경기,12
2020,3,21,강원,0
2020,3,21,충북,1
2020,3,21,충남,0
2020,3,21,전북,0
2020,3,21,전남,0
2020,3,21,경북,40
2020,3,21,경남,0
2020,3,21,제주,0
2020,3,21,검역,6
2020,3,22,서울,10
2020,3,22,부산,0
2020,3,22,대구,43
2020,3,22,인천,0
2020,3,22,광주,1
2020,3,22,대전,2
2020,3,22,울산,0
2020,3,22,세종,0
2020,3,22,경기,16
2020,3,22,강원,0
2020,3,22,충북,1
2020,3,22,충남,1
2020,3,22,전북,0
2020,3,22,전남,1
2020,3,22,경북,11
2020,3,22,경남,1
2020,3,22,제주,0
2020,3,22,검역,11
2020,3,23,서울,6
2020,3,23,부산,1
2020,3,23,대구,24
2020,3,23,인천,0
2020,3,23,광주,0
2020,3,23,대전,0
2020,3,23,울산,0
2020,3,23,세종,1
2020,3,23,경기,14
2020,3,23,강원,0
2020,3,23,충북,2
2020,3,23,충남,0
2020,3,23,전북,0
2020,3,23,전남,0
2020,3,23,경북,2
2020,3,23,경남,1
2020,3,23,제주,0
2020,3,23,검역,13
2020,3,24,서울,4
2020,3,24,부산,2
2020,3,24,대구,31
2020,3,24,인천,1
2020,3,24,광주,0
2020,3,24,대전,0
2020,3,24,울산,0
2020,3,24,세종,0
2020,3,24,경기,15
2020,3,24,강원,0
